table,input,result
SAM,1,M
SAM,2,M
SAM,3,M
SAM,4,H
SAM,5,H
SAM,6,2H
PD,1,M
PD,2,H
PD,3,H
PD,4,H
PD,5,H
PD,6,2H
BombsAndSSM,1,M
BombsAndSSM,2,M
BombsAndSSM,3,H
BombsAndSSM,4,H
BombsAndSSM,5,H
BombsAndSSM,6,2H
Guns,1,M
Guns,2,M
Guns,3,M
Guns,4,H
Guns,5,H
Guns,6,H
Torpedoes,1,M
Torpedoes,2,M
Torpedoes,3,M
Torpedoes,4,M
Torpedoes,5,H
Torpedoes,6,2H
ASW,1,M
ASW,2,M
ASW,3,M
ASW,4,M
ASW,5,H
ASW,6,H
AircraftDamage,1,NoEffect
AircraftDamage,2,Abort
AircraftDamage,3,Abort
AircraftDamage,4,ShotDown
AircraftDamage,5,ShotDown
AircraftDamage,6,ShotDown
AirToAir,2OrLess,M
AirToAir,3To7,H
AirToAir,8OrMore,2H
